Unique Identifier,Series_reference,Period,Data_value,STATUS,UNITS,Magnitude,Subject,Group,Series_title_1,Series_title_2
Transaction 11,ECTM.S1AG1210,2000.11,11.8,C,Dollars,6,Electronic Card Transactions (ANZSIC06) - ECT,Private - Values - Electronic card transactions  A/S/T by industry,Actual,Supermarket and grocery stores
Transaction 12,ECTM.S1AG1210,2000.12,15,C,Dollars,6,Electronic Card Transactions (ANZSIC06) - ECT,Private - Values - Electronic card transactions  A/S/T by industry,Actual,Supermarket and grocery stores
Transaction 13,ECTM.S1AG1210,2001.01,12,C,Dollars,6,Electronic Card Transactions (ANZSIC06) - ECT,Private - Values - Electronic card transactions  A/S/T by industry,Actual,Supermarket and grocery stores
Transaction 14,ECTM.S1AG1210,2001.02,11.9,C,Dollars,6,Electronic Card Transactions (ANZSIC06) - ECT,Private - Values - Electronic card transactions  A/S/T by industry,Actual,Supermarket and grocery stores
Transaction 15,ECTM.S1AG1210,2001.03,13,C,Dollars,6,Electronic Card Transactions (ANZSIC06) - ECT,Private - Values - Electronic card transactions  A/S/T by industry,Actual,Supermarket and grocery stores
Transaction 16,ECTM.S1AG1210,2001.04,12.6,C,Dollars,6,Electronic Card Transactions (ANZSIC06) - ECT,Private - Values - Electronic card transactions  A/S/T by industry,Actual,Supermarket and grocery stores
Transaction 17,ECTM.S1AG1210,2001.05,13.3,C,Dollars,6,Electronic Card Transactions (ANZSIC06) - ECT,Private - Values - Electronic card transactions  A/S/T by industry,Actual,Supermarket and grocery stores
Transaction 18,ECTM.S1AG1210,2001.06,13.1,C,Dollars,6,Electronic Card Transactions (ANZSIC06) - ECT,Private - Values - Electronic card transactions  A/S/T by industry,Actual,Supermarket and grocery stores
Transaction 19,ECTM.S1AG1210,2001.07,13.4,C,Dollars,6,Electronic Card Transactions (ANZSIC06) - ECT,Private - Values - Electronic card transactions  A/S/T by industry,Actual,Supermarket and grocery stores
Transaction 20,ECTM.S1AG1210,2001.08,589.5,C,Dollars,6,Electronic Card Transactions (ANZSIC06) - ECT,Private - Values - Electronic card transactions  A/S/T by industry,Actual,Supermarket and grocery stores
Transaction 21,ECTM.S1AG1210,2001.09,573,C,Dollars,6,Electronic Card Transactions (ANZSIC06) - ECT,Private - Values - Electronic card transactions  A/S/T by industry,Actual,Supermarket and grocery stores
