Unique Identifier,Series_reference,Period,Data_value,STATUS,UNITS,Magnitude,Subject,Group,Series_title_1,Series_title_2
Transaction 1607,ECTM.S1AG1321,2002.12,160.6,F,Dollars,6,Electronic Card Transactions (ANZSIC06) - ECT,Private - Values - Electronic card transactions  A/S/T by industry,Actual,Recreational goods
Transaction 1608,ECTM.S1AG1321,2003.01,93.8,F,Dollars,6,Electronic Card Transactions (ANZSIC06) - ECT,Private - Values - Electronic card transactions  A/S/T by industry,Actual,Recreational goods
Transaction 1609,ECTM.S1AG1321,2003.02,85.6,F,Dollars,6,Electronic Card Transactions (ANZSIC06) - ECT,Private - Values - Electronic card transactions  A/S/T by industry,Actual,Recreational goods
Transaction 1610,ECTM.S1AG1321,2003.03,95.7,F,Dollars,6,Electronic Card Transactions (ANZSIC06) - ECT,Private - Values - Electronic card transactions  A/S/T by industry,Actual,Recreational goods
Transaction 1611,ECTM.S1AG1321,2003.04,89.5,F,Dollars,6,Electronic Card Transactions (ANZSIC06) - ECT,Private - Values - Electronic card transactions  A/S/T by industry,Actual,Recreational goods
Transaction 1612,ECTM.S1AG1321,2003.05,88.1,F,Dollars,6,Electronic Card Transactions (ANZSIC06) - ECT,Private - Values - Electronic card transactions  A/S/T by industry,Actual,Recreational goods
Transaction 1613,ECTM.S1AG1321,2003.06,79.4,F,Dollars,6,Electronic Card Transactions (ANZSIC06) - ECT,Private - Values - Electronic card transactions  A/S/T by industry,Actual,Recreational goods
Transaction 1614,ECTM.S1AG1321,2003.07,90.6,F,Dollars,6,Electronic Card Transactions (ANZSIC06) - ECT,Private - Values - Electronic card transactions  A/S/T by industry,Actual,Recreational goods
Transaction 1615,ECTM.S1AG1321,2003.08,85.1,F,Dollars,6,Electronic Card Transactions (ANZSIC06) - ECT,Private - Values - Electronic card transactions  A/S/T by industry,Actual,Recreational goods
Transaction 1616,ECTM.S1AG1321,2003.09,89.2,F,Dollars,6,Electronic Card Transactions (ANZSIC06) - ECT,Private - Values - Electronic card transactions  A/S/T by industry,Actual,Recreational goods
Transaction 1617,ECTM.S1AG1321,2003.1,92.9,F,Dollars,6,Electronic Card Transactions (ANZSIC06) - ECT,Private - Values - Electronic card transactions  A/S/T by industry,Actual,Recreational goods
Transaction 1618,ECTM.S1AG1321,2003.11,103,F,Dollars,6,Electronic Card Transactions (ANZSIC06) - ECT,Private - Values - Electronic card transactions  A/S/T by industry,Actual,Recreational goods
Transaction 1619,ECTM.S1AG1321,2003.12,171.2,F,Dollars,6,Electronic Card Transactions (ANZSIC06) - ECT,Private - Values - Electronic card transactions  A/S/T by industry,Actual,Recreational goods
Transaction 1620,ECTM.S1AG1321,2004.01,93,F,Dollars,6,Electronic Card Transactions (ANZSIC06) - ECT,Private - Values - Electronic card transactions  A/S/T by industry,Actual,Recreational goods
Transaction 1621,ECTM.S1AG1321,2004.02,86.8,F,Dollars,6,Electronic Card Transactions (ANZSIC06) - ECT,Private - Values - Electronic card transactions  A/S/T by industry,Actual,Recreational goods
Transaction 1622,ECTM.S1AG1321,2004.03,94.8,F,Dollars,6,Electronic Card Transactions (ANZSIC06) - ECT,Private - Values - Electronic card transactions  A/S/T by industry,Actual,Recreational goods
Transaction 1623,ECTM.S1AG1321,2004.04,90,F,Dollars,6,Electronic Card Transactions (ANZSIC06) - ECT,Private - Values - Electronic card transactions  A/S/T by industry,Actual,Recreational goods
Transaction 1624,ECTM.S1AG1321,2004.05,83,F,Dollars,6,Electronic Card Transactions (ANZSIC06) - ECT,Private - Values - Electronic card transactions  A/S/T by industry,Actual,Recreational goods
Transaction 1625,ECTM.S1AG1321,2004.06,79.3,F,Dollars,6,Electronic Card Transactions (ANZSIC06) - ECT,Private - Values - Electronic card transactions  A/S/T by industry,Actual,Recreational goods
Transaction 1626,ECTM.S1AG1321,2004.07,90.3,F,Dollars,6,Electronic Card Transactions (ANZSIC06) - ECT,Private - Values - Electronic card transactions  A/S/T by industry,Actual,Recreational goods
Transaction 1627,ECTM.S1AG1321,2004.08,84.9,F,Dollars,6,Electronic Card Transactions (ANZSIC06) - ECT,Private - Values - Electronic card transactions  A/S/T by industry,Actual,Recreational goods
Transaction 1628,ECTM.S1AG1321,2004.09,88.2,F,Dollars,6,Electronic Card Transactions (ANZSIC06) - ECT,Private - Values - Electronic card transactions  A/S/T by industry,Actual,Recreational goods
Transaction 1629,ECTM.S1AG1321,2004.1,90.8,F,Dollars,6,Electronic Card Transactions (ANZSIC06) - ECT,Private - Values - Electronic card transactions  A/S/T by industry,Actual,Recreational goods
Transaction 1630,ECTM.S1AG1321,2004.11,105.1,F,Dollars,6,Electronic Card Transactions (ANZSIC06) - ECT,Private - Values - Electronic card transactions  A/S/T by industry,Actual,Recreational goods
Transaction 1631,ECTM.S1AG1321,2004.12,172.1,F,Dollars,6,Electronic Card Transactions (ANZSIC06) - ECT,Private - Values - Electronic card transactions  A/S/T by industry,Actual,Recreational goods
Transaction 1632,ECTM.S1AG1321,2005.01,96.9,F,Dollars,6,Electronic Card Transactions (ANZSIC06) - ECT,Private - Values - Electronic card transactions  A/S/T by industry,Actual,Recreational goods
Transaction 1633,ECTM.S1AG1321,2005.02,93.7,F,Dollars,6,Electronic Card Transactions (ANZSIC06) - ECT,Private - Values - Electronic card transactions  A/S/T by industry,Actual,Recreational goods
Transaction 1634,ECTM.S1AG1321,2005.03,105.1,F,Dollars,6,Electronic Card Transactions (ANZSIC06) - ECT,Private - Values - Electronic card transactions  A/S/T by industry,Actual,Recreational goods
Transaction 1635,ECTM.S1AG1321,2005.04,98.6,F,Dollars,6,Electronic Card Transactions (ANZSIC06) - ECT,Private - Values - Electronic card transactions  A/S/T by industry,Actual,Recreational goods
Transaction 1636,ECTM.S1AG1321,2005.05,93.2,F,Dollars,6,Electronic Card Transactions (ANZSIC06) - ECT,Private - Values - Electronic card transactions  A/S/T by industry,Actual,Recreational goods
Transaction 1637,ECTM.S1AG1321,2005.06,87,F,Dollars,6,Electronic Card Transactions (ANZSIC06) - ECT,Private - Values - Electronic card transactions  A/S/T by industry,Actual,Recreational goods
Transaction 1638,ECTM.S1AG1321,2005.07,97.9,F,Dollars,6,Electronic Card Transactions (ANZSIC06) - ECT,Private - Values - Electronic card transactions  A/S/T by industry,Actual,Recreational goods
Transaction 1639,ECTM.S1AG1321,2005.08,92,F,Dollars,6,Electronic Card Transactions (ANZSIC06) - ECT,Private - Values - Electronic card transactions  A/S/T by industry,Actual,Recreational goods
Transaction 1640,ECTM.S1AG1321,2005.09,96.7,F,Dollars,6,Electronic Card Transactions (ANZSIC06) - ECT,Private - Values - Electronic card transactions  A/S/T by industry,Actual,Recreational goods
Transaction 1641,ECTM.S1AG1321,2005.1,98.8,F,Dollars,6,Electronic Card Transactions (ANZSIC06) - ECT,Private - Values - Electronic card transactions  A/S/T by industry,Actual,Recreational goods
Transaction 1642,ECTM.S1AG1321,2005.11,116.3,F,Dollars,6,Electronic Card Transactions (ANZSIC06) - ECT,Private - Values - Electronic card transactions  A/S/T by industry,Actual,Recreational goods
Transaction 1643,ECTM.S1AG1321,2005.12,182.7,F,Dollars,6,Electronic Card Transactions (ANZSIC06) - ECT,Private - Values - Electronic card transactions  A/S/T by industry,Actual,Recreational goods
Transaction 1644,ECTM.S1AG1321,2006.01,104.7,F,Dollars,6,Electronic Card Transactions (ANZSIC06) - ECT,Private - Values - Electronic card transactions  A/S/T by industry,Actual,Recreational goods
Transaction 1645,ECTM.S1AG1321,2006.02,102.8,F,Dollars,6,Electronic Card Transactions (ANZSIC06) - ECT,Private - Values - Electronic card transactions  A/S/T by industry,Actual,Recreational goods
Transaction 1646,ECTM.S1AG1321,2006.03,116,F,Dollars,6,Electronic Card Transactions (ANZSIC06) - ECT,Private - Values - Electronic card transactions  A/S/T by industry,Actual,Recreational goods
Transaction 1647,ECTM.S1AG1321,2006.04,102.8,F,Dollars,6,Electronic Card Transactions (ANZSIC06) - ECT,Private - Values - Electronic card transactions  A/S/T by industry,Actual,Recreational goods
Transaction 1648,ECTM.S1AG1321,2006.05,103.3,F,Dollars,6,Electronic Card Transactions (ANZSIC06) - ECT,Private - Values - Electronic card transactions  A/S/T by industry,Actual,Recreational goods
Transaction 1649,ECTM.S1AG1321,2006.06,96.9,F,Dollars,6,Electronic Card Transactions (ANZSIC06) - ECT,Private - Values - Electronic card transactions  A/S/T by industry,Actual,Recreational goods
Transaction 1650,ECTM.S1AG1321,2006.07,103.6,F,Dollars,6,Electronic Card Transactions (ANZSIC06) - ECT,Private - Values - Electronic card transactions  A/S/T by industry,Actual,Recreational goods
Transaction 1651,ECTM.S1AG1321,2006.08,101,F,Dollars,6,Electronic Card Transactions (ANZSIC06) - ECT,Private - Values - Electronic card transactions  A/S/T by industry,Actual,Recreational goods
Transaction 1652,ECTM.S1AG1321,2006.09,104.4,F,Dollars,6,Electronic Card Transactions (ANZSIC06) - ECT,Private - Values - Electronic card transactions  A/S/T by industry,Actual,Recreational goods
Transaction 1653,ECTM.S1AG1321,2006.1,110.8,F,Dollars,6,Electronic Card Transactions (ANZSIC06) - ECT,Private - Values - Electronic card transactions  A/S/T by industry,Actual,Recreational goods
Transaction 1654,ECTM.S1AG1321,2006.11,120,F,Dollars,6,Electronic Card Transactions (ANZSIC06) - ECT,Private - Values - Electronic card transactions  A/S/T by industry,Actual,Recreational goods
Transaction 1655,ECTM.S1AG1321,2006.12,196.8,F,Dollars,6,Electronic Card Transactions (ANZSIC06) - ECT,Private - Values - Electronic card transactions  A/S/T by industry,Actual,Recreational goods
Transaction 1656,ECTM.S1AG1321,2007.01,112,F,Dollars,6,Electronic Card Transactions (ANZSIC06) - ECT,Private - Values - Electronic card transactions  A/S/T by industry,Actual,Recreational goods
Transaction 1657,ECTM.S1AG1321,2007.02,109.3,F,Dollars,6,Electronic Card Transactions (ANZSIC06) - ECT,Private - Values - Electronic card transactions  A/S/T by industry,Actual,Recreational goods
Transaction 1658,ECTM.S1AG1321,2007.03,121.3,F,Dollars,6,Electronic Card Transactions (ANZSIC06) - ECT,Private - Values - Electronic card transactions  A/S/T by industry,Actual,Recreational goods
Transaction 1659,ECTM.S1AG1321,2007.04,105.9,F,Dollars,6,Electronic Card Transactions (ANZSIC06) - ECT,Private - Values - Electronic card transactions  A/S/T by industry,Actual,Recreational goods
Transaction 1660,ECTM.S1AG1321,2007.05,109.4,F,Dollars,6,Electronic Card Transactions (ANZSIC06) - ECT,Private - Values - Electronic card transactions  A/S/T by industry,Actual,Recreational goods
Transaction 1661,ECTM.S1AG1321,2007.06,104.1,F,Dollars,6,Electronic Card Transactions (ANZSIC06) - ECT,Private - Values - Electronic card transactions  A/S/T by industry,Actual,Recreational goods
Transaction 1662,ECTM.S1AG1321,2007.07,105.7,F,Dollars,6,Electronic Card Transactions (ANZSIC06) - ECT,Private - Values - Electronic card transactions  A/S/T by industry,Actual,Recreational goods
Transaction 1663,ECTM.S1AG1321,2007.08,106.3,F,Dollars,6,Electronic Card Transactions (ANZSIC06) - ECT,Private - Values - Electronic card transactions  A/S/T by industry,Actual,Recreational goods
Transaction 1664,ECTM.S1AG1321,2007.09,104.7,F,Dollars,6,Electronic Card Transactions (ANZSIC06) - ECT,Private - Values - Electronic card transactions  A/S/T by industry,Actual,Recreational goods
Transaction 1665,ECTM.S1AG1321,2007.1,114.7,F,Dollars,6,Electronic Card Transactions (ANZSIC06) - ECT,Private - Values - Electronic card transactions  A/S/T by industry,Actual,Recreational goods
Transaction 1666,ECTM.S1AG1321,2007.11,126.9,F,Dollars,6,Electronic Card Transactions (ANZSIC06) - ECT,Private - Values - Electronic card transactions  A/S/T by industry,Actual,Recreational goods
Transaction 1667,ECTM.S1AG1321,2007.12,202,F,Dollars,6,Electronic Card Transactions (ANZSIC06) - ECT,Private - Values - Electronic card transactions  A/S/T by industry,Actual,Recreational goods
Transaction 1668,ECTM.S1AG1321,2008.01,119.3,F,Dollars,6,Electronic Card Transactions (ANZSIC06) - ECT,Private - Values - Electronic card transactions  A/S/T by industry,Actual,Recreational goods
Transaction 1669,ECTM.S1AG1321,2008.02,117.5,F,Dollars,6,Electronic Card Transactions (ANZSIC06) - ECT,Private - Values - Electronic card transactions  A/S/T by industry,Actual,Recreational goods
Transaction 1670,ECTM.S1AG1321,2008.03,117.9,F,Dollars,6,Electronic Card Transactions (ANZSIC06) - ECT,Private - Values - Electronic card transactions  A/S/T by industry,Actual,Recreational goods
Transaction 1671,ECTM.S1AG1321,2008.04,110.6,F,Dollars,6,Electronic Card Transactions (ANZSIC06) - ECT,Private - Values - Electronic card transactions  A/S/T by industry,Actual,Recreational goods
Transaction 1672,ECTM.S1AG1321,2008.05,110.3,F,Dollars,6,Electronic Card Transactions (ANZSIC06) - ECT,Private - Values - Electronic card transactions  A/S/T by industry,Actual,Recreational goods
Transaction 1673,ECTM.S1AG1321,2008.06,96.3,F,Dollars,6,Electronic Card Transactions (ANZSIC06) - ECT,Private - Values - Electronic card transactions  A/S/T by industry,Actual,Recreational goods
Transaction 1674,ECTM.S1AG1321,2008.07,107.1,F,Dollars,6,Electronic Card Transactions (ANZSIC06) - ECT,Private - Values - Electronic card transactions  A/S/T by industry,Actual,Recreational goods
Transaction 1675,ECTM.S1AG1321,2008.08,101.7,F,Dollars,6,Electronic Card Transactions (ANZSIC06) - ECT,Private - Values - Electronic card transactions  A/S/T by industry,Actual,Recreational goods
Transaction 1676,ECTM.S1AG1321,2008.09,106.1,F,Dollars,6,Electronic Card Transactions (ANZSIC06) - ECT,Private - Values - Electronic card transactions  A/S/T by industry,Actual,Recreational goods
Transaction 1677,ECTM.S1AG1321,2008.1,115.5,F,Dollars,6,Electronic Card Transactions (ANZSIC06) - ECT,Private - Values - Electronic card transactions  A/S/T by industry,Actual,Recreational goods
Transaction 1678,ECTM.S1AG1321,2008.11,126.2,F,Dollars,6,Electronic Card Transactions (ANZSIC06) - ECT,Private - Values - Electronic card transactions  A/S/T by industry,Actual,Recreational goods
Transaction 1679,ECTM.S1AG1321,2008.12,198.1,F,Dollars,6,Electronic Card Transactions (ANZSIC06) - ECT,Private - Values - Electronic card transactions  A/S/T by industry,Actual,Recreational goods
Transaction 1680,ECTM.S1AG1321,2009.01,122.2,F,Dollars,6,Electronic Card Transactions (ANZSIC06) - ECT,Private - Values - Electronic card transactions  A/S/T by industry,Actual,Recreational goods
Transaction 1681,ECTM.S1AG1321,2009.02,111.7,F,Dollars,6,Electronic Card Transactions (ANZSIC06) - ECT,Private - Values - Electronic card transactions  A/S/T by industry,Actual,Recreational goods
Transaction 1682,ECTM.S1AG1321,2009.03,123.2,F,Dollars,6,Electronic Card Transactions (ANZSIC06) - ECT,Private - Values - Electronic card transactions  A/S/T by industry,Actual,Recreational goods
Transaction 1683,ECTM.S1AG1321,2009.04,110.6,F,Dollars,6,Electronic Card Transactions (ANZSIC06) - ECT,Private - Values - Electronic card transactions  A/S/T by industry,Actual,Recreational goods
Transaction 1684,ECTM.S1AG1321,2009.05,109.6,F,Dollars,6,Electronic Card Transactions (ANZSIC06) - ECT,Private - Values - Electronic card transactions  A/S/T by industry,Actual,Recreational goods
Transaction 1685,ECTM.S1AG1321,2009.06,97.5,F,Dollars,6,Electronic Card Transactions (ANZSIC06) - ECT,Private - Values - Electronic card transactions  A/S/T by industry,Actual,Recreational goods
Transaction 1686,ECTM.S1AG1321,2009.07,114,F,Dollars,6,Electronic Card Transactions (ANZSIC06) - ECT,Private - Values - Electronic card transactions  A/S/T by industry,Actual,Recreational goods
Transaction 1687,ECTM.S1AG1321,2009.08,104.1,F,Dollars,6,Electronic Card Transactions (ANZSIC06) - ECT,Private - Values - Electronic card transactions  A/S/T by industry,Actual,Recreational goods
Transaction 1688,ECTM.S1AG1321,2009.09,107,F,Dollars,6,Electronic Card Transactions (ANZSIC06) - ECT,Private - Values - Electronic card transactions  A/S/T by industry,Actual,Recreational goods
Transaction 1689,ECTM.S1AG1321,2009.1,111.7,F,Dollars,6,Electronic Card Transactions (ANZSIC06) - ECT,Private - Values - Electronic card transactions  A/S/T by industry,Actual,Recreational goods
Transaction 1690,ECTM.S1AG1321,2009.11,124.5,F,Dollars,6,Electronic Card Transactions (ANZSIC06) - ECT,Private - Values - Electronic card transactions  A/S/T by industry,Actual,Recreational goods
Transaction 1691,ECTM.S1AG1321,2009.12,193.6,F,Dollars,6,Electronic Card Transactions (ANZSIC06) - ECT,Private - Values - Electronic card transactions  A/S/T by industry,Actual,Recreational goods
Transaction 1692,ECTM.S1AG1321,2010.01,115.6,F,Dollars,6,Electronic Card Transactions (ANZSIC06) - ECT,Private - Values - Electronic card transactions  A/S/T by industry,Actual,Recreational goods
Transaction 1693,ECTM.S1AG1321,2010.02,109.2,F,Dollars,6,Electronic Card Transactions (ANZSIC06) - ECT,Private - Values - Electronic card transactions  A/S/T by industry,Actual,Recreational goods
Transaction 1694,ECTM.S1AG1321,2010.03,122.5,F,Dollars,6,Electronic Card Transactions (ANZSIC06) - ECT,Private - Values - Electronic card transactions  A/S/T by industry,Actual,Recreational goods
Transaction 1695,ECTM.S1AG1321,2010.04,107.6,F,Dollars,6,Electronic Card Transactions (ANZSIC06) - ECT,Private - Values - Electronic card transactions  A/S/T by industry,Actual,Recreational goods
Transaction 1696,ECTM.S1AG1321,2010.05,100.5,F,Dollars,6,Electronic Card Transactions (ANZSIC06) - ECT,Private - Values - Electronic card transactions  A/S/T by industry,Actual,Recreational goods
Transaction 1697,ECTM.S1AG1321,2010.06,98.8,F,Dollars,6,Electronic Card Transactions (ANZSIC06) - ECT,Private - Values - Electronic card transactions  A/S/T by industry,Actual,Recreational goods
Transaction 1698,ECTM.S1AG1321,2010.07,114.3,F,Dollars,6,Electronic Card Transactions (ANZSIC06) - ECT,Private - Values - Electronic card transactions  A/S/T by industry,Actual,Recreational goods
Transaction 1699,ECTM.S1AG1321,2010.08,98.3,F,Dollars,6,Electronic Card Transactions (ANZSIC06) - ECT,Private - Values - Electronic card transactions  A/S/T by industry,Actual,Recreational goods
Transaction 1700,ECTM.S1AG1321,2010.09,102.9,F,Dollars,6,Electronic Card Transactions (ANZSIC06) - ECT,Private - Values - Electronic card transactions  A/S/T by industry,Actual,Recreational goods
Transaction 1701,ECTM.S1AG1321,2010.1,107.3,F,Dollars,6,Electronic Card Transactions (ANZSIC06) - ECT,Private - Values - Electronic card transactions  A/S/T by industry,Actual,Recreational goods
Transaction 1702,ECTM.S1AG1321,2010.11,124.6,F,Dollars,6,Electronic Card Transactions (ANZSIC06) - ECT,Private - Values - Electronic card transactions  A/S/T by industry,Actual,Recreational goods
Transaction 1703,ECTM.S1AG1321,2010.12,196,F,Dollars,6,Electronic Card Transactions (ANZSIC06) - ECT,Private - Values - Electronic card transactions  A/S/T by industry,Actual,Recreational goods
Transaction 1704,ECTM.S1AG1321,2011.01,113.6,F,Dollars,6,Electronic Card Transactions (ANZSIC06) - ECT,Private - Values - Electronic card transactions  A/S/T by industry,Actual,Recreational goods
Transaction 1705,ECTM.S1AG1321,2011.02,105.2,F,Dollars,6,Electronic Card Transactions (ANZSIC06) - ECT,Private - Values - Electronic card transactions  A/S/T by industry,Actual,Recreational goods
Transaction 1706,ECTM.S1AG1321,2011.03,118.8,F,Dollars,6,Electronic Card Transactions (ANZSIC06) - ECT,Private - Values - Electronic card transactions  A/S/T by industry,Actual,Recreational goods
Transaction 1707,ECTM.S1AG1321,2011.04,106.8,F,Dollars,6,Electronic Card Transactions (ANZSIC06) - ECT,Private - Values - Electronic card transactions  A/S/T by industry,Actual,Recreational goods
Transaction 1708,ECTM.S1AG1321,2011.05,103,F,Dollars,6,Electronic Card Transactions (ANZSIC06) - ECT,Private - Values - Electronic card transactions  A/S/T by industry,Actual,Recreational goods
Transaction 1709,ECTM.S1AG1321,2011.06,94,F,Dollars,6,Electronic Card Transactions (ANZSIC06) - ECT,Private - Values - Electronic card transactions  A/S/T by industry,Actual,Recreational goods
Transaction 1710,ECTM.S1AG1321,2011.07,108.8,F,Dollars,6,Electronic Card Transactions (ANZSIC06) - ECT,Private - Values - Electronic card transactions  A/S/T by industry,Actual,Recreational goods
Transaction 1711,ECTM.S1AG1321,2011.08,97.3,F,Dollars,6,Electronic Card Transactions (ANZSIC06) - ECT,Private - Values - Electronic card transactions  A/S/T by industry,Actual,Recreational goods
Transaction 1712,ECTM.S1AG1321,2011.09,102.2,F,Dollars,6,Electronic Card Transactions (ANZSIC06) - ECT,Private - Values - Electronic card transactions  A/S/T by industry,Actual,Recreational goods
Transaction 1713,ECTM.S1AG1321,2011.1,107.5,F,Dollars,6,Electronic Card Transactions (ANZSIC06) - ECT,Private - Values - Electronic card transactions  A/S/T by industry,Actual,Recreational goods
Transaction 1714,ECTM.S1AG1321,2011.11,122.6,F,Dollars,6,Electronic Card Transactions (ANZSIC06) - ECT,Private - Values - Electronic card transactions  A/S/T by industry,Actual,Recreational goods
Transaction 1715,ECTM.S1AG1321,2011.12,198.6,F,Dollars,6,Electronic Card Transactions (ANZSIC06) - ECT,Private - Values - Electronic card transactions  A/S/T by industry,Actual,Recreational goods
Transaction 1716,ECTM.S1AG1321,2012.01,116,F,Dollars,6,Electronic Card Transactions (ANZSIC06) - ECT,Private - Values - Electronic card transactions  A/S/T by industry,Actual,Recreational goods
Transaction 1717,ECTM.S1AG1321,2012.02,113.7,F,Dollars,6,Electronic Card Transactions (ANZSIC06) - ECT,Private - Values - Electronic card transactions  A/S/T by industry,Actual,Recreational goods
Transaction 1718,ECTM.S1AG1321,2012.03,118.3,F,Dollars,6,Electronic Card Transactions (ANZSIC06) - ECT,Private - Values - Electronic card transactions  A/S/T by industry,Actual,Recreational goods
Transaction 1719,ECTM.S1AG1321,2012.04,103.3,F,Dollars,6,Electronic Card Transactions (ANZSIC06) - ECT,Private - Values - Electronic card transactions  A/S/T by industry,Actual,Recreational goods
Transaction 1720,ECTM.S1AG1321,2012.05,107.4,F,Dollars,6,Electronic Card Transactions (ANZSIC06) - ECT,Private - Values - Electronic card transactions  A/S/T by industry,Actual,Recreational goods
Transaction 1721,ECTM.S1AG1321,2012.06,101.8,F,Dollars,6,Electronic Card Transactions (ANZSIC06) - ECT,Private - Values - Electronic card transactions  A/S/T by industry,Actual,Recreational goods
Transaction 1722,ECTM.S1AG1321,2012.07,106.8,F,Dollars,6,Electronic Card Transactions (ANZSIC06) - ECT,Private - Values - Electronic card transactions  A/S/T by industry,Actual,Recreational goods
Transaction 1723,ECTM.S1AG1321,2012.08,101.1,F,Dollars,6,Electronic Card Transactions (ANZSIC06) - ECT,Private - Values - Electronic card transactions  A/S/T by industry,Actual,Recreational goods
Transaction 1724,ECTM.S1AG1321,2012.09,99.9,F,Dollars,6,Electronic Card Transactions (ANZSIC06) - ECT,Private - Values - Electronic card transactions  A/S/T by industry,Actual,Recreational goods
Transaction 1725,ECTM.S1AG1321,2012.1,108.6,F,Dollars,6,Electronic Card Transactions (ANZSIC06) - ECT,Private - Values - Electronic card transactions  A/S/T by industry,Actual,Recreational goods
Transaction 1726,ECTM.S1AG1321,2012.11,123,F,Dollars,6,Electronic Card Transactions (ANZSIC06) - ECT,Private - Values - Electronic card transactions  A/S/T by industry,Actual,Recreational goods
Transaction 1727,ECTM.S1AG1321,2012.12,195,F,Dollars,6,Electronic Card Transactions (ANZSIC06) - ECT,Private - Values - Electronic card transactions  A/S/T by industry,Actual,Recreational goods
Transaction 1728,ECTM.S1AG1321,2013.01,116.1,F,Dollars,6,Electronic Card Transactions (ANZSIC06) - ECT,Private - Values - Electronic card transactions  A/S/T by industry,Actual,Recreational goods
Transaction 1729,ECTM.S1AG1321,2013.02,108.5,F,Dollars,6,Electronic Card Transactions (ANZSIC06) - ECT,Private - Values - Electronic card transactions  A/S/T by industry,Actual,Recreational goods
Transaction 1730,ECTM.S1AG1321,2013.03,116.1,F,Dollars,6,Electronic Card Transactions (ANZSIC06) - ECT,Private - Values - Electronic card transactions  A/S/T by industry,Actual,Recreational goods
Transaction 1731,ECTM.S1AG1321,2013.04,103,F,Dollars,6,Electronic Card Transactions (ANZSIC06) - ECT,Private - Values - Electronic card transactions  A/S/T by industry,Actual,Recreational goods
Transaction 1732,ECTM.S1AG1321,2013.05,106.2,F,Dollars,6,Electronic Card Transactions (ANZSIC06) - ECT,Private - Values - Electronic card transactions  A/S/T by industry,Actual,Recreational goods
Transaction 1733,ECTM.S1AG1321,2013.06,96.4,F,Dollars,6,Electronic Card Transactions (ANZSIC06) - ECT,Private - Values - Electronic card transactions  A/S/T by industry,Actual,Recreational goods
Transaction 1734,ECTM.S1AG1321,2013.07,110.3,F,Dollars,6,Electronic Card Transactions (ANZSIC06) - ECT,Private - Values - Electronic card transactions  A/S/T by industry,Actual,Recreational goods
Transaction 1735,ECTM.S1AG1321,2013.08,102.5,F,Dollars,6,Electronic Card Transactions (ANZSIC06) - ECT,Private - Values - Electronic card transactions  A/S/T by industry,Actual,Recreational goods
Transaction 1736,ECTM.S1AG1321,2013.09,96.7,F,Dollars,6,Electronic Card Transactions (ANZSIC06) - ECT,Private - Values - Electronic card transactions  A/S/T by industry,Actual,Recreational goods
Transaction 1737,ECTM.S1AG1321,2013.1,111.4,F,Dollars,6,Electronic Card Transactions (ANZSIC06) - ECT,Private - Values - Electronic card transactions  A/S/T by industry,Actual,Recreational goods
Transaction 1738,ECTM.S1AG1321,2013.11,127.9,F,Dollars,6,Electronic Card Transactions (ANZSIC06) - ECT,Private - Values - Electronic card transactions  A/S/T by industry,Actual,Recreational goods
Transaction 1739,ECTM.S1AG1321,2013.12,199.2,F,Dollars,6,Electronic Card Transactions (ANZSIC06) - ECT,Private - Values - Electronic card transactions  A/S/T by industry,Actual,Recreational goods
Transaction 1740,ECTM.S1AG1321,2014.01,118.2,F,Dollars,6,Electronic Card Transactions (ANZSIC06) - ECT,Private - Values - Electronic card transactions  A/S/T by industry,Actual,Recreational goods
Transaction 1741,ECTM.S1AG1321,2014.02,108.2,F,Dollars,6,Electronic Card Transactions (ANZSIC06) - ECT,Private - Values - Electronic card transactions  A/S/T by industry,Actual,Recreational goods
Transaction 1742,ECTM.S1AG1321,2014.03,116.4,F,Dollars,6,Electronic Card Transactions (ANZSIC06) - ECT,Private - Values - Electronic card transactions  A/S/T by industry,Actual,Recreational goods
Transaction 1743,ECTM.S1AG1321,2014.04,106.2,F,Dollars,6,Electronic Card Transactions (ANZSIC06) - ECT,Private - Values - Electronic card transactions  A/S/T by industry,Actual,Recreational goods
Transaction 1744,ECTM.S1AG1321,2014.05,110.9,F,Dollars,6,Electronic Card Transactions (ANZSIC06) - ECT,Private - Values - Electronic card transactions  A/S/T by industry,Actual,Recreational goods
Transaction 1745,ECTM.S1AG1321,2014.06,94.4,F,Dollars,6,Electronic Card Transactions (ANZSIC06) - ECT,Private - Values - Electronic card transactions  A/S/T by industry,Actual,Recreational goods
Transaction 1746,ECTM.S1AG1321,2014.07,108.8,F,Dollars,6,Electronic Card Transactions (ANZSIC06) - ECT,Private - Values - Electronic card transactions  A/S/T by industry,Actual,Recreational goods
Transaction 1747,ECTM.S1AG1321,2014.08,103.6,F,Dollars,6,Electronic Card Transactions (ANZSIC06) - ECT,Private - Values - Electronic card transactions  A/S/T by industry,Actual,Recreational goods
Transaction 1748,ECTM.S1AG1321,2014.09,102.7,F,Dollars,6,Electronic Card Transactions (ANZSIC06) - ECT,Private - Values - Electronic card transactions  A/S/T by industry,Actual,Recreational goods
Transaction 1749,ECTM.S1AG1321,2014.1,114.2,F,Dollars,6,Electronic Card Transactions (ANZSIC06) - ECT,Private - Values - Electronic card transactions  A/S/T by industry,Actual,Recreational goods
Transaction 1750,ECTM.S1AG1321,2014.11,126.1,F,Dollars,6,Electronic Card Transactions (ANZSIC06) - ECT,Private - Values - Electronic card transactions  A/S/T by industry,Actual,Recreational goods
